date,project_id,cloud_cost,orders_processed,dev_cost,budget,it_expense,total_revenue,uptime_minutes,scheduled_minutes,incident_count,downtime_minutes,internal_nps
2025-01-01,PRJ0170,0.05,6.77,1201886.72,1160541.59,138565.38,4087340.33,43164.19,43200.0,1.67,26.83,38.18
2025-01-02,PRJ0015,0.07,10.53,1362922.7,1367040.58,224642.03,1149489.11,43183.15,43200.0,2.89,29.02,44.76
2025-01-03,PRJ0100,0.07,9.21,1504408.93,1233617.01,189104.38,2124684.79,43079.63,43200.0,1.04,29.2,63.56
2025-01-04,PRJ0151,0.05,16.42,1323165.71,1635075.57,256828.97,2117276.97,43024.32,43200.0,3.13,31.49,53.7
2025-01-05,PRJ0159,0.03,11.44,1050822.63,1751044.13,268473.08,1920167.32,43076.56,43200.0,2.99,12.37,38.2
2025-01-06,PRJ0123,0.02,11.9,1326384.07,938081.07,349438.19,3962565.61,43115.13,43200.0,0.4,18.27,45.76
2025-01-07,PRJ0176,0.04,7.82,1704774.18,683725.81,233379.96,2781366.2,43045.05,43200.0,1.19,8.52,42.27
2025-01-08,PRJ0037,0.08,7.4,801264.07,448156.94,218722.81,2699770.02,43045.43,43200.0,2.17,47.38,41.17
2025-01-09,PRJ0170,0.06,7.7,1300089.33,1541721.13,211134.76,692035.94,43119.91,43200.0,2.15,-5.58,60.58
2025-01-10,PRJ0185,0.02,12.21,941683.15,790025.11,179517.87,3738565.24,43097.44,43200.0,1.13,50.4,33.56
2025-01-11,PRJ0044,0.06,7.77,1757008.42,300423.77,219455.42,1574620.6,43102.1,43200.0,2.92,54.4,67.83
2025-01-12,PRJ0150,0.07,11.64,587589.59,1486015.28,182853.35,3074280.72,43056.81,43200.0,2.77,25.4,58.85
2025-01-13,PRJ0197,0.03,21.36,1002428.75,2467724.43,209637.89,3325277.33,43087.04,43200.0,2.27,-14.12,61.87
2025-01-14,PRJ0095,0.06,14.8,1405165.45,1301911.88,275991.8,4575712.61,43047.32,43200.0,1.64,24.38,44.01
2025-01-15,PRJ0028,0.06,8.28,1916392.53,1695898.62,141790.35,1494324.97,43151.19,43200.0,3.66,29.49,47.61
2025-01-16,PRJ0175,0.03,16.6,1214597.47,1342917.22,265729.88,-480331.67,43159.49,43200.0,4.34,13.23,32.85
2025-01-17,PRJ0068,0.06,7.84,1004030.14,1258612.08,275963.94,3217318.38,42994.54,43200.0,1.95,21.74,43.3
2025-01-18,PRJ0193,0.07,-1.04,2052181.9,1733491.73,193092.98,5083435.78,43047.02,43200.0,1.8,56.87,55.01
2025-01-19,PRJ0034,0.08,4.57,619929.98,1169331.32,77389.53,4435219.8,43014.56,43200.0,3.04,42.01,64.23
2025-01-20,PRJ0179,0.08,-0.13,296929.64,1429482.06,164813.44,3247110.79,43063.01,43200.0,2.09,14.71,36.6
2025-01-21,PRJ0150,0.02,8.14,1432183.92,1454815.49,274802.13,2437603.17,43095.45,43200.0,2.33,3.15,45.13
2025-01-22,PRJ0016,0.03,10.16,1026893.93,993080.77,198590.09,3936764.34,43017.24,43200.0,3.31,24.97,47.59
2025-01-23,PRJ0134,0.07,19.19,803536.66,1767530.2,142208.42,1881332.99,43047.45,43200.0,0.35,26.92,33.28
2025-01-24,PRJ0144,0.07,11.84,1547628.08,1223125.49,170763.62,3554961.51,43042.75,43200.0,3.96,39.11,56.13
2025-01-25,PRJ0090,0.07,8.86,1347770.26,952189.99,248449.97,3588566.03,43112.09,43200.0,2.57,21.39,41.01
2025-01-26,PRJ0104,0.15,14.57,1000210.24,1555024.98,231480.26,4228903.79,43104.2,43200.0,2.03,39.37,47.08
2025-01-27,PRJ0037,0.07,-1.98,692080.75,885610.01,186114.03,6190584.19,43058.91,43200.0,2.39,63.83,44.13
2025-01-28,PRJ0180,0.08,11.34,1618226.37,1317890.42,178729.22,3458067.23,43110.35,43200.0,2.44,44.6,40.25
2025-01-29,PRJ0053,0.08,14.26,1522608.94,1300489.95,177289.48,2417602.05,43068.93,43200.0,0.55,29.76,49.25
