date,order_id,driver_id,driver_rating,delivery_status,sla_met,total_order_value,commission_revenue,unexpected_risk_cost,active_jan,active_feb,active_mar,active_current_month,active_last_month,delivery_time,delivery_cost
2025-01-01,ORD07270,DVR0519,4.73,Fail,No,38843.12,7952.33,1338.4,0.74,0.98,0.93,1.0,0.33,51.068723742268254,6290.08429582277
2025-01-02,ORD00860,DVR0211,4.69,Fail,Yes,54674.87,4612.62,3120.61,1.0,1.1,0.84,1.0,0.27,43.23440558377183,8335.51406730178
2025-01-03,ORD05390,DVR0450,4.71,Success,Yes,58001.13,10715.76,-1291.91,0.77,0.97,0.91,1.0,0.88,53.61730993855429,6060.313408557905
2025-01-04,ORD05191,DVR0035,4.55,Success,No,43447.43,10530.38,2405.83,0.82,1.01,1.15,1.0,-0.25,41.306162405308186,7881.7670259782935
2025-01-05,ORD05734,DVR0064,4.7,Success,Yes,62705.34,12758.91,-854.6,0.95,0.92,1.0,1.0,-0.12,44.239005824750805,9043.186756620507
2025-01-06,ORD06265,DVR0047,4.79,Fail,Yes,51457.7,7366.14,1408.66,0.61,1.25,0.86,1.0,1.53,43.74788931561395,8335.691748527874
2025-01-07,ORD00466,DVR0419,4.97,Fail,Yes,61102.54,6226.39,-1662.94,1.09,0.82,1.04,1.0,0.28,46.082890370040644,7420.442770408157
2025-01-08,ORD04426,DVR0181,4.87,Fail,Yes,47850.91,9067.74,-2488.86,0.64,0.87,1.05,1.0,0.73,47.61609013648579,6461.70023341374
2025-01-09,ORD05578,DVR0437,5.1,Success,No,65340.07,9826.4,636.62,0.97,0.9,1.05,1.0,-0.08,56.039967223114495,10248.89972251136
2025-01-10,ORD08322,DVR0207,4.55,Success,No,54768.14,12232.35,-5526.82,0.98,1.06,0.84,1.0,0.68,49.74268115237348,7025.045557236692
2025-01-11,ORD01685,DVR0622,4.86,Fail,No,75326.74,13398.09,-573.37,1.06,0.82,0.88,1.0,0.29,44.42349134035921,7347.394793716649
2025-01-12,ORD00769,DVR0572,4.73,Fail,Yes,45870.63,12930.84,-4657.6,0.97,1.0,0.88,1.0,-0.12,42.62644099985906,7706.932913593514
2025-01-13,ORD06949,DVR0712,5.11,Success,No,52496.69,10695.87,2779.47,1.26,1.0,0.93,1.0,1.28,47.8886879957302,8240.035745101904
2025-01-14,ORD02433,DVR0346,4.54,Success,No,38229.04,11942.0,3623.92,1.01,0.87,1.06,1.0,1.2,46.193364348454466,10169.267357779097
2025-01-15,ORD05311,DVR0243,4.53,Success,Yes,44026.45,8510.7,-2343.11,1.13,1.03,1.02,1.0,0.58,48.08557553558535,7721.93949465018
2025-01-16,ORD05051,DVR0801,4.58,Success,Yes,57276.76,10438.17,1685.48,0.88,0.82,1.03,1.0,1.11,42.060115002937465,7458.26097901176
2025-01-17,ORD06420,DVR0449,4.29,Fail,No,63170.66,7198.23,3153.26,1.0,0.8,1.17,1.0,1.55,50.52506636339497,9074.355107683052
2025-01-18,ORD01184,DVR0196,4.59,Success,No,84358.58,10186.28,3163.65,1.2,0.99,1.08,1.0,1.0,47.545403785424,7025.397297193876
2025-01-19,ORD04555,DVR0751,4.55,Fail,No,49020.42,10248.14,1018.77,0.95,0.72,0.96,1.0,0.86,42.32323168440739,7133.75532806169
2025-01-20,ORD03385,DVR0566,4.72,Fail,No,39364.36,14140.5,2639.4,1.01,0.65,0.81,1.0,0.73,41.46499480932914,4826.944159929102
2025-01-21,ORD06396,DVR0713,4.76,Fail,Yes,58830.8,9491.27,-1674.04,1.12,1.06,0.88,1.0,0.95,46.93751422448111,8627.377312580371
2025-01-22,ORD08666,DVR0852,5.05,Success,No,37118.09,10251.47,609.36,0.88,1.14,0.94,1.0,0.46,38.46357815758633,8945.976705620054
2025-01-23,ORD09274,DVR0106,4.87,Success,No,56648.75,10601.55,-1105.95,0.68,0.9,1.1,1.0,0.5,43.373301944071194,7742.70046860937
2025-01-24,ORD02558,DVR0461,4.58,Success,Yes,44338.58,8953.13,-1937.33,1.02,0.87,0.98,1.0,0.85,47.87368137457711,7833.975644868366
2025-01-25,ORD07849,DVR0795,4.52,Success,No,52578.01,8124.68,462.66,1.12,1.13,0.89,1.0,0.4,45.036478220440095,8524.096333658363
2025-01-26,ORD02047,DVR0621,4.79,Fail,Yes,62728.84,13131.79,1433.64,0.79,0.8,0.88,1.0,0.46,42.982766816499606,6265.856492151403
2025-01-27,ORD02747,DVR0453,4.44,Success,Yes,48857.62,7699.52,3977.43,1.07,0.77,0.97,1.0,0.63,42.4757979634206,9283.804125541508
2025-01-28,ORD09167,DVR0432,5.04,Success,Yes,60903.24,6872.66,1176.84,1.07,1.08,1.1,1.0,1.19,41.81651748312989,9269.7713767565
2025-01-29,ORD09998,DVR0534,4.92,Fail,No,60213.93,11657.88,2351.43,0.66,0.98,1.2,1.0,0.09,45.80890742771376,9402.920232736105
2025-01-30,ORD00189,DVR0048,4.6,Success,No,28617.18,12795.82,2386.82,0.85,1.14,0.95,1.0,1.0,51.72716668722307,7716.939663496802
2025-01-31,ORD02734,DVR0782,4.37,Fail,Yes,39729.24,8961.26,8728.53,0.93,0.65,0.97,1.0,1.01,49.15706042451116,7515.533380233778
