date,release_id,dev_cost,revenue_from_release,feature_count,cost_per_feature,time_to_market_days,total_active_users,users_using_feature,feature_adoption_rate,users_retained,user_retention_rate,inapp_nps
2025-01-01,REL07270,5639700.38,7444491.86,4.45,-277544.87,62.59,17319.67,6881.07,36.63,13775.93,77.12,33.49
2025-01-02,REL00860,828311.34,5365284.69,5.96,-54177.9,53.88,12465.73,8548.69,36.97,2608.73,86.89,51.41
2025-01-03,REL05390,3766194.65,4217860.62,1.86,633777.4,35.97,12424.56,2379.41,37.14,10224.26,84.68,36.88
2025-01-04,REL05191,1121175.55,9155020.17,8.76,358294.78,60.97,11044.83,2854.88,39.21,8332.8,87.91,32.49
2025-01-05,REL05734,2433670.94,4199526.16,4.85,740836.53,30.37,13136.92,7342.25,45.46,12219.48,81.96,41.03
2025-01-06,REL06265,4229498.22,6925398.31,7.92,961395.75,78.54,16038.08,5612.0,50.03,12361.34,92.06,63.39
2025-01-07,REL00466,3050593.71,5311520.83,5.94,1389658.74,44.91,8709.57,6261.23,32.42,7939.26,79.98,60.59
2025-01-08,REL04426,1736670.76,8122571.03,6.23,846283.37,58.46,9614.74,5772.22,26.03,7922.18,94.89,52.4
2025-01-09,REL05578,2153666.65,7695559.23,6.52,1350556.24,60.13,11149.49,5888.41,27.89,10180.81,74.96,31.84
2025-01-10,REL08322,3758529.38,9763883.34,6.21,968479.54,49.1,6636.29,1906.54,34.3,7229.51,87.54,47.31
2025-01-11,REL01685,2136336.44,5216435.01,6.71,-878353.71,66.31,8916.89,7411.02,35.86,13757.96,87.77,53.08
2025-01-12,REL00769,3225678.28,5922083.57,8.46,59693.78,44.7,10402.47,7694.55,31.03,9210.0,80.45,51.62
2025-01-13,REL06949,3029069.57,3839034.95,5.57,779660.76,72.1,16251.54,4450.51,24.95,-319.23,87.48,28.24
2025-01-14,REL02433,2226958.67,5409560.5,6.88,-185072.44,26.97,13601.91,4881.62,34.66,9188.92,92.4,39.28
2025-01-15,REL05311,5443289.87,7823789.33,4.83,1453245.94,56.94,13303.21,1432.01,42.02,6696.68,72.26,48.85
2025-01-16,REL05051,3705975.07,8939491.6,8.75,2295953.26,93.83,16149.81,6174.92,46.8,4471.0,87.93,55.8
2025-01-17,REL06420,646670.16,4005347.64,3.33,2013498.21,34.01,11869.92,6308.96,33.49,5949.88,70.67,24.16
2025-01-18,REL01184,3191157.74,9270414.2,9.67,716870.85,40.57,14155.82,4838.23,35.16,11007.18,79.47,47.71
2025-01-19,REL04555,2215239.33,10698604.61,4.96,2259717.44,64.83,12017.81,7589.66,29.22,15585.33,94.42,51.24
2025-01-20,REL03385,3957380.26,7929969.22,1.4,1044702.59,58.02,13614.04,4207.76,39.56,11772.34,81.68,59.42
2025-01-21,REL06396,2064826.87,12230011.77,5.39,604932.22,61.5,9941.09,6291.68,30.13,8318.97,78.27,57.61
2025-01-22,REL08666,2844631.6,4441346.48,3.32,354772.61,64.33,1903.09,2617.98,46.54,12308.25,83.89,56.33
2025-01-23,REL09274,3557636.45,3057722.19,7.21,636271.61,67.29,11883.32,4927.82,19.3,8872.5,96.94,40.32
2025-01-24,REL02558,3972707.33,1488386.45,3.39,558677.81,76.96,18626.31,4578.14,35.77,7988.17,74.48,27.49
2025-01-25,REL07849,1595672.6,11111184.8,3.92,1064392.54,62.71,16475.98,5504.9,43.4,6261.79,78.97,45.04
2025-01-26,REL02047,2591787.7,8637937.08,0.23,1055482.0,49.46,16645.67,4125.56,42.05,4018.33,93.66,61.18
2025-01-27,REL02747,2430203.91,6551769.14,3.9,912866.17,68.06,17818.13,4677.57,71.03,9132.21,95.73,65.72
2025-01-28,REL09167,2224969.55,7537782.53,-1.14,1305684.61,93.04,12848.78,6897.93,43.97,11189.84,84.43,57.81
2025-01-29,REL09998,5007829.54,3407886.93,1.01,1988044.15,51.67,13319.35,3969.64,28.33,10233.54,77.89,54.56
2025-01-30,REL00189,3442577.99,13901872.56,7.01,1769774.61,34.53,9789.98,1257.01,38.82,9034.42,97.11,53.98
2025-01-31,REL02734,1525965.39,7094815.65,7.07,-434223.99,76.9,11096.02,9039.48,19.41,7045.13,94.22,43.15
2025-02-01,REL03005,4032657.22,7036556.4,6.15,-1402049.8,51.92,15131.55,8185.84,38.99,12880.29,88.94,48.08
2025-02-02,REL04658,5418222.45,8847746.7,2.59,1755982.51,10.14,17678.48,1985.86,30.3,5650.6,80.35,68.91
2025-02-03,REL01899,4164510.68,8128534.38,4.94,-327376.83,71.62,11860.94,6581.77,50.5,13510.3,84.75,38.67
2025-02-04,REL07734,1228571.93,7372979.6,5.05,706620.15,43.47,10515.21,3816.11,33.58,6833.08,84.11,68.28
2025-02-05,REL01267,2419517.0,4392317.35,2.1,-149237.66,52.53,12467.12,5593.43,38.58,7771.0,86.94,45.86
2025-02-06,REL01528,4434245.49,8100498.8,8.91,-721290.36,61.13,15068.47,5664.7,32.58,5088.66,93.39,64.93
2025-02-07,REL03556,2162450.0,12245376.1,7.31,1400314.52,58.25,6211.96,4438.88,60.01,8713.62,90.1,33.3
2025-02-08,REL03890,3487261.58,10668579.87,4.5,1597399.45,68.81,2520.8,3165.0,36.21,14258.6,78.82,56.37
2025-02-09,REL08838,3867870.59,11396634.6,5.13,388172.52,45.5,10080.63,3381.17,61.09,12532.51,92.96,41.06
2025-02-10,REL05393,1910185.72,5212910.97,5.6,-1435656.94,64.81,7178.31,2857.92,49.33,14270.28,86.83,33.2
2025-02-11,REL08792,2908153.09,3807178.69,-0.16,415573.4,49.08,10264.24,3053.56,45.49,12556.97,88.99,52.12
2025-02-12,REL08433,-752506.31,6345481.92,4.43,1264823.0,69.41,11824.85,4826.66,44.18,6452.13,93.48,61.28
2025-02-13,REL07513,1798059.24,6878849.04,3.32,-428804.29,66.89,10501.96,3322.69,44.47,9354.26,78.63,39.8
2025-02-14,REL02612,2686053.39,9930352.31,2.5,1076110.94,35.33,18755.02,6564.02,17.66,7666.75,84.82,32.23
2025-02-15,REL07041,1541038.09,1741846.03,4.34,896247.93,76.47,13879.86,8431.15,36.7,15592.59,81.97,48.52
2025-02-16,REL09555,4854760.91,11209641.21,9.66,1434562.3,43.46,13766.1,3637.38,49.69,6102.48,76.0,48.57
2025-02-17,REL06235,1331231.25,6250801.53,6.7,1018368.98,70.82,15159.42,5537.58,39.36,13952.14,87.03,55.94
2025-02-18,REL05486,2470358.03,5460725.71,3.6,29153.56,61.84,7532.91,6141.14,23.7,13949.35,99.5,60.58
2025-02-19,REL07099,3127057.95,3741064.41,6.53,1993408.48,91.78,16964.9,6076.95,39.32,17466.48,74.43,48.9
2025-02-20,REL09670,4634852.7,1852355.89,8.64,766585.87,49.82,12136.72,5158.57,59.61,9058.0,84.84,71.07
2025-02-21,REL00775,1324649.38,9133965.34,7.43,885388.7,47.26,15368.48,6704.61,54.33,13271.08,88.72,52.18
2025-02-22,REL08226,4314881.98,6930545.71,5.22,65186.85,53.97,7822.96,6100.71,39.21,19163.83,85.74,45.58
2025-02-23,REL03152,2988411.58,2924591.27,3.41,508788.84,48.2,5736.0,2112.47,50.91,8277.14,84.38,30.93
2025-02-24,REL01585,1847392.4,2909552.56,6.85,109064.21,70.65,16006.86,6997.89,35.69,4832.36,77.54,46.55
2025-02-25,REL03943,3508297.75,5728409.68,6.07,753534.1,21.47,14094.95,7039.94,20.25,3537.02,86.37,45.69
2025-02-26,REL07555,3205660.49,11619473.2,7.35,2459780.84,32.92,8558.33,3212.48,29.25,13272.55,80.67,60.71
2025-02-27,REL03073,2286076.41,5952301.57,6.69,-331923.83,32.63,8698.6,5070.41,57.98,3525.23,72.41,54.94
2025-02-28,REL01021,3056946.96,2298162.15,7.75,-550707.71,73.71,17338.74,6566.98,36.76,9198.32,91.91,35.93
2025-03-01,REL03843,2533327.04,5992994.35,3.69,2242012.85,89.19,7313.87,4497.07,37.11,12238.44,90.55,51.58
2025-03-02,REL07989,3107242.26,5913712.94,8.43,720600.11,52.24,19578.73,7470.52,36.46,11291.68,85.33,57.36
2025-03-03,REL09692,3738433.15,-1209618.21,5.57,304372.45,50.93,8564.53,10463.93,61.92,12193.88,86.35,67.28
2025-03-04,REL06873,4801383.1,6555559.19,10.37,1851572.28,55.79,15229.51,3159.85,58.71,11431.04,91.22,59.86
2025-03-05,REL05675,1552506.12,6036508.79,3.3,361822.58,78.02,11041.69,1779.99,65.55,15398.43,86.32,58.4
2025-03-06,REL00161,5430736.87,8760884.76,9.51,2563261.93,35.49,15077.05,5686.95,38.09,7020.46,90.24,50.28
2025-03-07,REL04297,730721.19,12148205.59,5.57,1523859.6,59.22,10108.45,6655.64,43.34,8054.27,83.32,54.08
2025-03-08,REL00995,2802006.37,10025480.91,3.4,468384.44,74.22,11759.83,4447.09,22.41,7695.06,92.59,64.06
2025-03-09,REL07629,3653509.24,5924981.62,3.82,2863198.59,64.57,12642.04,8352.35,56.98,13713.68,86.88,34.16
2025-03-10,REL09467,3299925.14,3463609.54,4.24,361732.6,58.23,8124.68,1878.4,26.44,13977.3,86.15,45.54
2025-03-11,REL01016,2260209.66,14276844.35,6.15,1581954.6,74.74,15673.11,6589.22,42.43,12290.68,77.71,40.64
2025-03-12,REL07869,2737189.31,6889114.65,6.4,1181069.02,-0.66,10242.27,3577.53,27.25,15040.31,86.68,53.98
2025-03-13,REL06439,2409430.55,6756033.86,3.59,2088622.54,68.17,11474.84,8969.43,33.12,6172.87,80.24,63.83
2025-03-14,REL07892,2298561.99,6644212.19,5.0,2323801.74,41.05,8158.62,9602.8,30.25,16856.69,81.35,42.68
2025-03-15,REL06863,3954122.87,7297169.23,10.54,939083.02,17.11,1368.18,3204.67,32.9,16316.03,80.33,21.91
2025-03-16,REL07916,3387391.87,6290904.26,9.48,228011.72,64.77,11637.55,3708.09,33.7,13358.57,78.89,44.81
2025-03-17,REL08529,2179431.53,5029414.29,6.18,1326538.11,82.33,22913.11,6975.7,33.59,17286.91,97.27,60.16
2025-03-18,REL00878,4011646.33,5108174.3,5.16,296547.96,51.57,15862.71,4084.74,49.55,4375.82,92.7,55.81
2025-03-19,REL09268,3330192.63,6618858.53,5.37,2732901.67,73.76,12381.43,4877.14,27.16,8627.08,96.09,54.55
