date,revenue_attributed,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,168726323.94,149603360.79,158125077.71,158818254.14666668,9580307.932855127,-8521716.920000017
2025-04-30,152452470.45,168726323.94,149603360.79,156927385.06,10317004.191341503,19122963.150000006
2025-05-31,165051391.31,152452470.45,168726323.94,162076728.56666666,8534989.20215649,-16273853.49000001
2025-06-30,167965744.6,165051391.31,152452470.45,161823202.12,8245078.701752286,12598920.860000014
2025-07-31,162056253.82,167965744.6,165051391.31,165024463.24333334,2954837.416899083,2914353.2899999917
2025-08-31,148899390.03,162056253.82,167965744.6,159640462.81666666,9760046.29989425,-5909490.780000001
2025-09-30,151208218.48,148899390.03,162056253.82,154054620.77666667,7025117.132333467,-13156863.789999992
2025-10-31,157903165.72,151208218.48,148899390.03,152670258.07666665,4676554.715345983,2308828.449999988
2025-11-30,163018705.58,157903165.72,151208218.48,157376696.59333333,5922818.47525458,6694947.24000001
2025-12-31,158476671.49,163018705.58,157903165.72,159799514.26333332,2802609.813554675,5115539.860000014
2026-01-31,153266555.8829599,158476671.49,163018705.58,158253977.65098664,4879887.328394087,-4542034.090000004
2026-02-28,143378352.672395,153266555.8829599,158476671.49,151707193.3484516,7668997.093168863,-5210115.607040107
2026-03-31,154021305.68543962,143378352.672395,153266555.8829599,150222071.41359815,5938836.289426356,-9888203.210564911
2026-04-30,170287502.28457308,154021305.68543962,143378352.672395,155895720.2141359,13552145.792518867,10642953.013044626
2026-05-31,153846134.69550604,170287502.28457308,154021305.68543962,159384980.88850623,9442266.720057216,16266196.599133462
2026-06-30,173425429.16903952,153846134.69550604,170287502.28457308,165853022.04970622,10515971.388103139,-16441367.589067042
2026-07-31,170588704.700481,173425429.16903952,153846134.69550604,165953422.85500884,10580716.958720615,19579294.47353348
2026-08-31,156271392.35811034,170588704.700481,173425429.16903952,166761842.07587695,9195047.737144848,-2836724.46855852
2026-09-30,136953816.9645337,156271392.35811034,170588704.700481,154604638.00770834,16879276.37077142,-14317312.34237066
2026-10-31,161319663.13427126,136953816.9645337,156271392.35811034,151514957.4856384,12860457.589599147,-19317575.39357665
2026-11-30,139455629.64917815,161319663.13427126,136953816.9645337,145909703.2493277,13403914.145462826,24365846.169737577
2026-12-31,183682733.66346884,139455629.64917815,161319663.13427126,161486008.8156394,22114021.243025962,-21864033.485093117
2027-01-31,167863895.64565408,183682733.66346884,139455629.64917815,163667419.65276703,22410198.35793247,44227104.01429069
2027-02-28,169932427.18620855,167863895.64565408,183682733.66346884,173826352.1651105,8598307.848899795,-15818838.017814755
2027-03-31,158279955.99325365,169932427.18620855,167863895.64565408,165358759.6083721,6217057.274115077,2068531.5405544639
2027-04-30,150431882.05134907,158279955.99325365,169932427.18620855,159548088.41027042,9811928.20038394,-11652471.192954898
2027-05-31,169920474.98199427,150431882.05134907,158279955.99325365,159544104.342199,9805603.851380322,-7848073.941904575
2027-06-30,142748978.80115166,169920474.98199427,150431882.05134907,154367111.94483167,14006679.724770822,19488592.930645198
2027-07-31,180949966.0690545,142748978.80115166,169920474.98199427,164539806.61740014,19660685.41780593,-27171496.18084261
2027-08-31,193442262.83433977,180949966.0690545,142748978.80115166,172380402.56818196,26410799.409786623,38200987.26790285
2027-09-30,154744995.10818383,193442262.83433977,180949966.0690545,176379074.67052603,19749415.649590828,12492296.765285254
2027-10-31,146776912.13639385,154744995.10818383,193442262.83433977,164988056.6929725,24962050.635172192,-38697267.72615594
2027-11-30,184943055.86625895,146776912.13639385,154744995.10818383,162154987.7036122,20133172.241363466,-7968082.971789986
2027-12-31,155695585.3100216,184943055.86625895,146776912.13639385,162471851.1042248,19965018.542126298,38166143.729865104
2028-01-31,165842459.96600142,155695585.3100216,184943055.86625895,168827033.714094,14850400.460184397,-29247470.55623734
2028-02-29,159344083.18230534,165842459.96600142,155695585.3100216,160294042.81944278,5139706.5874604685,10146874.655979812
2028-03-31,177767742.92934203,159344083.18230534,165842459.96600142,167651428.6925496,9344093.616229823,-6498376.783696085
2028-04-30,156950944.58399105,177767742.92934203,159344083.18230534,164687590.23187947,11390767.051844591,18423659.747036695
2028-05-31,138616668.4518272,156950944.58399105,177767742.92934203,157778451.98838675,19588650.65705718,-20816798.34535098
2028-06-30,163005121.51992324,138616668.4518272,156950944.58399105,152857578.18524715,12699051.032240827,-18334276.132163852
2028-07-31,176365381.37938303,163005121.51992324,138616668.4518272,159329057.11704448,19140961.81079572,24388453.06809604
2028-08-31,153601706.08226782,176365381.37938303,163005121.51992324,164324069.6605247,11439009.852531837,13360259.859459788
2028-09-30,157496559.78549153,153601706.08226782,176365381.37938303,162487882.41571411,12175023.79699329,-22763675.297115207
2028-10-31,184739858.72777605,157496559.78549153,153601706.08226782,165279374.86517847,16965414.68597791,3894853.7032237053
2028-11-30,151241376.859641,184739858.72777605,157496559.78549153,164492598.4576362,17811386.518012896,27243298.942284524
2028-12-31,187936526.13715222,151241376.859641,184739858.72777605,174639253.90818974,20326095.50346046,-33498481.868135065
