date,aha_revenue,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,418406.77,461597.25,470670.55,450224.8566666667,27926.2273242938,-9073.299999999988
2025-04-30,454764.21,418406.77,461597.25,444922.74333333335,23216.271024239326,-43190.47999999998
2025-05-31,495503.17,454764.21,418406.77,456224.7166666666,38568.945189524355,36357.44
2025-06-30,483961.58,495503.17,454764.21,478076.32,20997.45054574724,40738.95999999996
2025-07-31,481252.43,483961.58,495503.17,486905.7266666666,7567.819853368273,-11541.589999999967
2025-08-31,508602.15,481252.43,483961.58,491272.0533333334,15069.308586913854,-2709.1500000000233
2025-09-30,456899.79,508602.15,481252.43,482251.4566666667,25865.653830957697,27349.72000000003
2025-10-31,447114.8,456899.79,508602.15,470872.24666666664,33039.30555387077,-51702.360000000044
2025-11-30,455438.0,447114.8,456899.79,453150.8633333333,5278.233883036365,-9784.98999999999
2025-12-31,494847.31,455438.0,447114.8,465800.0366666666,25497.58774151067,8323.200000000012
2026-01-31,473866.75948683056,494847.31,455438.0,474717.35649561015,19718.419437737306,39409.31
2026-02-28,390917.4939437677,473866.75948683056,494847.31,453210.52114353277,54957.81839958639,-20980.550513169437
2026-03-31,465911.5702058397,390917.4939437677,473866.75948683056,443565.27454547933,45767.48694038782,-82949.26554306288
2026-04-30,434734.18631708063,465911.5702058397,390917.4939437677,430521.083488896,37674.13628978119,74994.07626207202
2026-05-31,442167.3629799129,434734.18631708063,465911.5702058397,447604.37316761113,16284.29078506683,-31177.38388875907
2026-06-30,447892.52142515767,442167.3629799129,434734.18631708063,441598.02357405034,6597.61746567741,7433.176662832266
2026-07-31,428790.6640252465,447892.52142515767,442167.3629799129,439616.84947677236,9803.013739606256,5725.158445244771
2026-08-31,435917.30117146095,428790.6640252465,447892.52142515767,437533.4955406217,9652.942671062132,-19101.857399911154
2026-09-30,490479.2875159945,435917.30117146095,428790.6640252465,451729.0842375673,33747.30996454416,7126.637146214431
2026-10-31,495766.25499867497,490479.2875159945,435917.30117146095,474054.28122871014,33133.21509008748,54561.986344533565
2026-11-30,494482.24829313793,495766.25499867497,490479.2875159945,493575.9302692691,2757.5470188247573,5286.967482680455
2026-12-31,503937.57186622545,494482.24829313793,495766.25499867497,498062.02505267947,5128.713881042921,-1284.006705537031
2027-01-31,438473.92396098626,503937.57186622545,494482.24829313793,478964.5813734499,35383.19925102972,9455.323573087517
2027-02-28,427012.7235158677,438473.92396098626,503937.57186622545,456474.7397810265,41501.567453189455,-65463.647905239195
2027-03-31,465790.87150204455,427012.7235158677,438473.92396098626,443759.1729929662,19922.01253154355,-11461.200445118535
2027-04-30,463691.5984834181,465790.87150204455,427012.7235158677,452165.06450044346,21807.841010860066,38778.14798617683
2027-05-31,491815.5025252754,463691.5984834181,465790.87150204455,473765.9908369127,15666.537299063219,-2099.273018626438
2027-06-30,449973.6489064043,491815.5025252754,463691.5984834181,468493.58330503263,21330.247824064707,28123.904041857284
2027-07-31,485858.13945116906,449973.6489064043,491815.5025252754,475882.4302942829,22634.514760711016,-41841.85361887107
2027-08-31,465046.7209587776,485858.13945116906,449973.6489064043,466959.50310545036,18018.552024782573,35884.49054476473
2027-09-30,496568.37273586774,465046.7209587776,485858.13945116906,482491.07771527144,16028.301882577742,-20811.418492391473
2027-10-31,474899.4390259625,496568.37273586774,465046.7209587776,478838.177573536,16125.72102879869,31521.651777090156
2027-11-30,471874.30202795175,474899.4390259625,496568.37273586774,481114.0379299273,13469.046428190903,-21668.93370990525
2027-12-31,506544.94738671306,471874.30202795175,474899.4390259625,484439.5628135424,19203.486241045262,-3025.136998010741
2028-01-31,501714.54950639204,506544.94738671306,471874.30202795175,493377.9329736856,18778.652608968034,34670.64535876131
2028-02-29,470050.6562191506,501714.54950639204,506544.94738671306,492770.0510374186,19823.253052963217,-4830.397880321019
2028-03-31,472064.4508285562,470050.6562191506,501714.54950639204,481276.5521846996,17728.4416425514,-31663.89328724146
2028-04-30,437910.81866565597,472064.4508285562,470050.6562191506,460008.6419044542,19163.746661394114,2013.7946094056242
2028-05-31,499431.7299426461,437910.81866565597,472064.4508285562,469802.33314561937,30822.775887262556,-34153.632162900234
2028-06-30,500886.99379927985,499431.7299426461,437910.81866565597,479409.8474691939,35946.57830657554,61520.91127699014
2028-07-31,440696.58852667967,500886.99379927985,499431.7299426461,480338.43742286856,34338.55830046323,1455.263856633741
2028-08-31,473259.81617521064,440696.58852667967,500886.99379927985,471614.4661670567,30128.916412758055,-60190.40527260018
2028-09-30,465957.9113051904,473259.81617521064,440696.58852667967,459971.4386690269,17087.110337624617,32563.22764853097
2028-10-31,485412.400545934,465957.9113051904,473259.81617521064,474876.70934211166,9827.514718352297,-7301.904870020226
2028-11-30,404904.13068855705,485412.400545934,465957.9113051904,452091.4808465605,42007.18746958745,19454.48924074357
2028-12-31,447334.5989632467,404904.13068855705,485412.400545934,445883.7100659125,40273.74067306579,-80508.26985737693
