date,support_cost,support_cost_lag_1,support_cost_lag_2,support_cost_ma,support_cost_trend,csat_score,csat_score_lag_1,csat_score_lag_2,csat_score_ma,csat_score_trend,first_contact_resolution_rate,first_contact_resolution_rate_lag_1,first_contact_resolution_rate_lag_2,first_contact_resolution_rate_ma,first_contact_resolution_rate_trend,department
2025-03-31,1890695.31,1469860.61,1867446.5,1680277.96,-397585.8899999999,143.64,129.72,141.78,136.68,-12.060000000000002,2316.630165720279,2089.849477038977,2288.544764812776,2203.2398213796278,-198.695287773799,Customer Support
2025-04-30,1785948.93,1890695.31,1469860.61,1838322.12,420834.69999999995,138.78,143.64,129.72,141.20999999999998,13.919999999999987,2225.5956684835946,2316.630165720279,2089.849477038977,2271.1129171019365,226.78068868130185,Customer Support
2025-05-31,1913040.81,1785948.93,1890695.31,1849494.87,-104746.38000000012,143.0,138.78,143.64,140.89,-4.859999999999985,2280.2497099560746,2225.5956684835946,2316.630165720279,2252.922689219835,-91.03449723668427,Customer Support
2025-06-30,1602813.0,1913040.81,1785948.93,1757926.905,127091.88000000012,136.04,143.0,138.78,139.51999999999998,4.219999999999999,2185.059986746978,2280.2497099560746,2225.5956684835946,2232.654848351526,54.65404147248,Customer Support
2025-07-31,1732603.11,1602813.0,1913040.81,1667708.0550000002,-310227.81000000006,142.99,136.04,143.0,139.515,-6.960000000000008,2332.605379424419,2185.059986746978,2280.2497099560746,2258.8326830856986,-95.18972320909643,Customer Support
2025-08-31,1644771.34,1732603.11,1602813.0,1688687.225,129790.1100000001,140.49,142.99,136.04,141.74,6.950000000000017,2327.899497805093,2332.605379424419,2185.059986746978,2330.252438614756,147.54539267744076,Customer Support
2025-09-30,1758216.26,1644771.34,1732603.11,1701493.8,-87831.77000000002,137.48,140.49,142.99,138.985,-2.5,2288.1329435068083,2327.899497805093,2332.605379424419,2308.0162206559507,-4.705881619326192,Customer Support
2025-10-31,1814033.05,1758216.26,1644771.34,1786124.655,113444.91999999993,142.32,137.48,140.49,139.89999999999998,-3.0100000000000193,2366.536882475513,2288.1329435068083,2327.899497805093,2327.3349129911603,-39.76655429828452,Customer Support
2025-11-30,1632274.89,1814033.05,1758216.26,1723153.97,55816.79000000004,137.16,142.32,137.48,139.74,4.840000000000003,2276.6143107509947,2366.536882475513,2288.1329435068083,2321.5755966132538,78.40393896870455,Customer Support
2025-12-31,1708533.49,1632274.89,1814033.05,1670404.19,-181758.16000000015,142.46,137.16,142.32,139.81,-5.159999999999997,2336.74232808071,2276.6143107509947,2366.536882475513,2306.6783194158525,-89.9225717245181,Customer Support
2026-01-31,2013899.5302757688,1708533.49,1632274.89,1861216.5101378844,76258.6000000001,142.70150795696532,142.46,137.16,142.58075397848268,5.300000000000011,2271.0701376789934,2336.74232808071,2276.6143107509947,2303.906232879852,60.128017329715476,Customer Support
