date,revenue_attributed,revenue_attributed_lag_1,revenue_attributed_lag_2,revenue_attributed_ma,revenue_attributed_trend,conversion_rate,conversion_rate_lag_1,conversion_rate_lag_2,conversion_rate_ma,conversion_rate_trend,department
2025-04-30,152452470.45,168726323.94,149603360.79,157226808.2225,19122963.150000006,601.69,648.43,555.22,604.5,93.20999999999992,Marketing
2025-05-31,165051391.31,152452470.45,168726323.94,158958386.6225,-16273853.49000001,590.91,601.69,648.43,599.0625,-46.739999999999895,Marketing
2025-06-30,167965744.6,165051391.31,152452470.45,163548982.575,12598920.860000014,611.69,590.91,601.69,613.18,-10.780000000000086,Marketing
2025-07-31,162056253.82,167965744.6,165051391.31,161881465.045,2914353.2899999917,669.94,611.69,590.91,618.5575,20.780000000000086,Marketing
2025-08-31,148899390.03,162056253.82,167965744.6,160993194.94,-5909490.780000001,569.51,669.94,611.69,610.5125,58.25,Marketing
2025-09-30,151208218.48,148899390.03,162056253.82,157532401.7325,-13156863.789999992,566.75,569.51,669.94,604.4725000000001,-100.43000000000006,Marketing
2025-10-31,157903165.72,151208218.48,148899390.03,155016757.0125,2308828.449999988,542.03,566.75,569.51,587.0575,-2.759999999999991,Marketing
2025-11-30,163018705.58,157903165.72,151208218.48,155257369.95250002,6694947.24000001,555.94,542.03,566.75,558.5575,-24.720000000000027,Marketing
2025-12-31,158476671.49,163018705.58,157903165.72,157651690.3175,5115539.860000014,598.4,555.94,542.03,565.78,13.910000000000082,Marketing
2026-01-31,153266555.8829599,158476671.49,163018705.58,158166274.66823998,-4542034.090000004,602.5407850199225,598.4,555.94,574.7276962549806,42.45999999999992,Marketing
2026-02-28,143378352.672395,153266555.8829599,158476671.49,154535071.40633872,-5210115.607040107,530.6472049339601,602.5407850199225,598.4,571.8819974884707,4.140785019922532,Marketing
2026-03-31,154021305.68543962,143378352.672395,153266555.8829599,152285721.4326986,-9888203.210564911,586.9680881596942,530.6472049339601,602.5407850199225,579.6390195283942,-71.89358008596241,Marketing
2026-04-30,170287502.28457308,154021305.68543962,143378352.672395,155238429.13134187,10642953.013044626,592.7653593417351,586.9680881596942,530.6472049339601,578.230359363828,56.320883225734065,Marketing
2026-05-31,153846134.69550604,170287502.28457308,154021305.68543962,155383323.83447844,16266196.599133462,558.1177883008825,592.7653593417351,586.9680881596942,567.1246101840679,5.797271182040959,Marketing
2026-06-30,173425429.16903952,153846134.69550604,170287502.28457308,162895092.95863956,-16441367.589067042,559.2756889773797,558.1177883008825,592.7653593417351,574.2817311949228,-34.647571040852654,Marketing
2026-07-31,170588704.700481,173425429.16903952,153846134.69550604,167036942.7123999,19579294.47353348,595.8744444882255,559.2756889773797,558.1177883008825,576.5083202770556,1.1579006764972064,Marketing
2026-08-31,156271392.35811034,170588704.700481,173425429.16903952,163532915.23078424,-2836724.46855852,606.9705804457465,595.8744444882255,559.2756889773797,580.0596255530586,36.598755510845876,Marketing
2026-09-30,136953816.9645337,156271392.35811034,170588704.700481,159309835.79804114,-14317312.34237066,584.829152059775,606.9705804457465,595.8744444882255,586.7374664927817,11.096135957520914,Marketing
2026-10-31,161319663.13427126,136953816.9645337,156271392.35811034,156283394.28934908,-19317575.39357665,576.6137714335752,584.829152059775,606.9705804457465,591.0719871068305,-22.141428385971494,Marketing
2026-11-30,139455629.64917815,161319663.13427126,136953816.9645337,148500125.52652335,24365846.169737577,620.8943461765737,576.6137714335752,584.829152059775,597.3269625289175,-8.215380626199817,Marketing
2026-12-31,183682733.66346884,139455629.64917815,161319663.13427126,155352960.85286298,-21864033.485093117,623.7702875568195,620.8943461765737,576.6137714335752,601.5268893066858,44.28057474299851,Marketing
2027-01-31,167863895.64565408,183682733.66346884,139455629.64917815,163080480.52314308,44227104.01429069,572.1046463577544,623.7702875568195,620.8943461765737,598.3457628811807,2.8759413802458766,Marketing
2027-02-28,169932427.18620855,167863895.64565408,183682733.66346884,165233671.5361274,-15818838.017814755,514.452815866392,572.1046463577544,623.7702875568195,582.8055239893849,-51.665641199065135,Marketing
2027-03-31,158279955.99325365,169932427.18620855,167863895.64565408,169939753.12214628,2068531.5405544639,647.6664143779699,514.452815866392,572.1046463577544,589.4985410397339,-57.651830491362375,Marketing
2027-04-30,150431882.05134907,158279955.99325365,169932427.18620855,161627040.21911633,-11652471.192954898,601.2189920748876,647.6664143779699,514.452815866392,583.8607171692511,133.21359851157786,Marketing
2027-05-31,169920474.98199427,150431882.05134907,158279955.99325365,162141185.05320138,-7848073.941904575,641.3030822910309,601.2189920748876,647.6664143779699,601.1603261525702,-46.44742230308225,Marketing
2027-06-30,142748978.80115166,169920474.98199427,150431882.05134907,155345322.95693716,19488592.930645198,552.076496274005,641.3030822910309,601.2189920748876,610.5662462544733,40.084090216143295,Marketing
