date,revenue_from_release,revenue_from_release_lag_1,revenue_from_release_lag_2,revenue_from_release_ma,revenue_from_release_trend,feature_adoption_rate,feature_adoption_rate_lag_1,feature_adoption_rate_lag_2,feature_adoption_rate_ma,feature_adoption_rate_trend,department
2025-05-31,202366190.73,198359824.76,196147882.4,200341578.66599998,2211942.3599999845,1303.9,1048.15,1250.96,1179.264,-202.80999999999995,Product
2025-06-30,201062098.96,202366190.73,198359824.76,197210685.968,4006365.969999999,1230.4,1303.9,1048.15,1197.828,255.75,Product
2025-07-31,219613751.91,201062098.96,202366190.73,203509949.752,-1304091.769999981,1209.25,1230.4,1303.9,1208.532,-73.5,Product
2025-08-31,231431762.67,219613751.91,201062098.96,210566725.806,18551652.949999988,1166.07,1209.25,1230.4,1191.554,-21.15000000000009,Product
2025-09-30,197828506.34,231431762.67,219613751.91,210460462.12199998,11818010.75999999,1138.46,1166.07,1209.25,1209.616,-43.180000000000064,Product
2025-10-31,237108043.07999998,197828506.34,231431762.67,217408832.592,-33603256.32999998,1274.32,1138.46,1166.07,1203.7,-27.6099999999999,Product
2025-11-30,239822690.25,237108043.07999998,197828506.34,225160950.85,39279536.73999998,1214.81,1274.32,1138.46,1200.5819999999999,135.8599999999999,Product
2025-12-31,198024515.98,239822690.25,237108043.07999998,220843103.66399997,2714647.1700000167,1197.65,1214.81,1274.32,1198.262,-59.50999999999999,Product
2026-01-31,205955265.26296082,198024515.98,239822690.25,215747804.18259215,-41798174.27000001,1243.1569672060878,1197.65,1214.81,1213.6793934412176,-17.159999999999854,Product
2026-02-28,211780344.2008292,205955265.26296082,198024515.98,218538171.75475803,7930749.282960832,1130.7773703387322,1243.1569672060878,1197.65,1212.1428675089642,45.506967206087666,Product
2026-03-31,245804511.43053278,211780344.2008292,205955265.26296082,220277465.4248646,5825078.9378683865,1298.9987217115176,1130.7773703387322,1243.1569672060878,1217.0786118512674,-112.37959686735553,Product
2026-04-30,206063704.42142054,245804511.43053278,211780344.2008292,213525668.25914866,34024167.229703575,1117.674335406105,1298.9987217115176,1130.7773703387322,1197.6514789324885,168.22135137278542,Product
2026-05-31,196735687.04397044,206063704.42142054,245804511.43053278,213267902.47194275,-39740807.00911224,1168.1618429911218,1117.674335406105,1298.9987217115176,1191.7538475307128,-181.32438630541265,Product
2026-06-30,193549122.81628788,196735687.04397044,206063704.42142054,210786673.98260817,-9328017.377450109,1141.7605201783822,1168.1618429911218,1117.674335406105,1171.4745581251716,50.48750758501683,Product
2026-07-31,190504320.6402932,193549122.81628788,196735687.04397044,206531469.27050096,-3186564.2276825607,1245.2643909264073,1141.7605201783822,1168.1618429911218,1194.3719622427066,-26.401322812739636,Product
