date,ticket_id,agent_id,support_cost,sla_met,first_contact_resolution,csat_score,first_contact_resolution_rate
2025-01-01,TCK07270,AGT0119,67263.3,Yes,Yes,4.58,78.98809082263875
2025-01-02,TCK00860,AGT0245,55536.46,Yes,Yes,4.24,71.45114162788711
2025-01-03,TCK05390,AGT0156,19770.96,Yes,No,4.76,81.21504304097056
2025-01-04,TCK05191,AGT0141,68204.3,Yes,Yes,4.64,76.74385237007306
2025-01-05,TCK05734,AGT0112,42110.71,No,Yes,4.34,76.71602803602106
2025-01-06,TCK06265,AGT0253,82223.34,No,No,4.34,69.35570555576808
2025-01-07,TCK00466,AGT0207,49036.68,No,No,5.03,75.67484743473254
2025-01-08,TCK04426,AGT0113,53157.8,Yes,No,5.13,73.80756072745528
2025-01-09,TCK05578,AGT0045,98739.66,Yes,Yes,4.53,87.28564598330577
2025-01-10,TCK08322,AGT0002,116838.6,Yes,No,4.6,72.37801257260034
2025-01-11,TCK01685,AGT0269,75507.15,No,No,4.7,72.2866616309417
2025-01-12,TCK00769,AGT0028,47708.35,No,Yes,4.63,73.96510402808946
2025-01-13,TCK06949,AGT0165,45441.26,Yes,No,4.12,70.47064903531653
2025-01-14,TCK02433,AGT0201,33939.77,No,No,4.7,76.79185672991387
2025-01-15,TCK05311,AGT0279,38950.48,Yes,No,4.0,74.81984202005567
2025-01-16,TCK05051,AGT0283,48058.84,Yes,Yes,4.38,73.4271370425087
2025-01-17,TCK06420,AGT0188,106026.96,No,Yes,4.73,85.45432548984624
2025-01-18,TCK01184,AGT0012,50037.54,Yes,Yes,4.75,72.1206857004784
2025-01-19,TCK04555,AGT0268,23387.37,No,Yes,4.36,68.9083547845351
2025-01-20,TCK03385,AGT0204,56225.51,Yes,No,4.46,79.4854144169671
2025-01-21,TCK06396,AGT0105,59760.36,No,Yes,4.42,71.65770468717807
2025-01-22,TCK08666,AGT0266,56069.32,No,Yes,4.56,72.4588016294557
2025-01-23,TCK09274,AGT0072,75860.92,No,No,4.58,69.54151547312529
2025-01-24,TCK02558,AGT0179,56933.72,Yes,No,4.77,65.0150043748982
2025-01-25,TCK07849,AGT0242,75058.85,Yes,No,4.44,72.60622506135364
2025-01-26,TCK02047,AGT0168,34932.74,No,Yes,4.69,68.97955467349024
2025-01-27,TCK02747,AGT0262,101273.09,No,Yes,4.73,59.43269639082027
2025-01-28,TCK09167,AGT0150,61686.31,Yes,Yes,4.64,70.96985336627185
2025-01-29,TCK09998,AGT0197,65513.25,Yes,No,4.51,76.79500493684012
2025-01-30,TCK00189,AGT0039,34824.76,Yes,No,4.63,77.07841959192648
2025-01-31,TCK02734,AGT0206,67368.14,No,Yes,4.79,72.66402557731105
2025-02-01,TCK03005,AGT0207,72011.0,Yes,No,4.82,76.10654600799633
2025-02-02,TCK04658,AGT0176,24845.33,Yes,No,5.09,70.4744791389792
2025-02-03,TCK01899,AGT0115,12170.22,No,No,4.31,74.99736588604561
2025-02-04,TCK07734,AGT0199,62753.17,Yes,Yes,4.46,86.74440634364963
2025-02-05,TCK01267,AGT0129,42485.47,Yes,No,4.14,80.47200519247433
2025-02-06,TCK01528,AGT0223,61879.08,Yes,No,4.84,71.32102885614249
2025-02-07,TCK03556,AGT0207,21704.09,No,Yes,4.49,69.84195597721875
2025-02-08,TCK03890,AGT0164,14723.92,No,Yes,4.64,66.87693729196653
2025-02-09,TCK08838,AGT0102,60500.19,No,No,4.42,78.73761018298957
2025-02-10,TCK05393,AGT0145,46085.67,No,No,4.49,76.66353973319778
2025-02-11,TCK08792,AGT0063,472.07,No,Yes,4.93,77.3823184156806
2025-02-12,TCK08433,AGT0051,89936.99,No,Yes,4.78,84.50416923120123
2025-02-13,TCK07513,AGT0294,21273.55,No,No,4.55,69.5513114978036
2025-02-14,TCK02612,AGT0232,121803.96,Yes,No,4.8,75.04137464140987
2025-02-15,TCK07041,AGT0259,38982.12,Yes,No,4.8,68.27168887794295
2025-02-16,TCK09555,AGT0004,65548.0,No,No,4.48,68.11436673493561
2025-02-17,TCK06235,AGT0220,97807.73,Yes,Yes,4.18,72.9034121579652
2025-02-18,TCK05486,AGT0299,93468.53,Yes,No,4.33,70.63147581154604
2025-02-19,TCK07099,AGT0019,106593.82,No,No,4.21,69.25041758656417
2025-02-20,TCK09670,AGT0124,15693.48,Yes,Yes,4.91,80.45962050250954
2025-02-21,TCK00775,AGT0062,25723.53,Yes,No,4.96,70.90717016715696
2025-02-22,TCK08226,AGT0010,61000.33,Yes,Yes,5.03,76.89034835431838
2025-02-23,TCK03152,AGT0090,76898.51,Yes,No,4.02,70.94795934706598
2025-02-24,TCK01585,AGT0200,54855.41,Yes,No,4.88,76.15352132800986
2025-02-25,TCK03943,AGT0074,12716.72,No,Yes,5.2,70.374487853813
2025-02-26,TCK07555,AGT0266,68009.28,No,Yes,4.89,79.25420781003959
