date,campaign_id,marketing_spend,new_customers,revenue_attributed,budgeted_spend,actual_spend,brand_awareness_index,lead_quality_score,leads,conversions,conversion_rate
2025-01-01,CMP07270,2239887.64,60.89,4441793.55,688959.24,1415426.74,90.56,8.95,153.23,49.75,11.75
2025-01-02,CMP00860,435616.75,42.51,5803611.69,804220.67,1230800.26,74.43,9.78,155.31,-4.36,21.56
2025-01-03,CMP05390,1537322.99,32.37,2122782.46,1159218.14,851341.52,74.29,6.72,156.37,32.54,19.34
2025-01-04,CMP05191,545440.83,76.01,8309478.58,1017064.09,1381182.59,69.71,6.95,169.37,23.37,22.59
2025-01-05,CMP05734,1037626.6,32.21,4806950.8,1214462.61,732548.29,76.66,9.18,208.51,42.2,16.6
2025-01-06,CMP06265,1711061.83,56.3,7560114.85,1328275.18,1753657.9,86.3,8.32,237.09,42.89,26.76
2025-01-07,CMP00466,1268972.64,42.04,5782195.86,1549266.69,1040782.44,61.95,8.64,126.84,21.47,14.62
2025-01-08,CMP04426,776251.54,66.88,6043931.01,1268875.1,1328028.7,64.96,8.4,86.81,21.38,29.61
2025-01-09,CMP05578,932624.99,63.11,6303339.09,1529089.09,1363462.53,70.06,8.46,98.47,32.33,9.57
2025-01-10,CMP08322,1534448.52,81.39,6023170.25,1331930.55,1129536.03,55.06,6.48,138.6,18.03,22.21
2025-01-11,CMP01685,926126.17,41.2,6470798.26,378930.92,1494365.56,62.64,9.21,148.38,49.66,22.45
2025-01-12,CMP00769,1334629.35,47.44,8046402.48,862980.53,1036344.44,67.58,9.35,118.15,27.62,15.09
2025-01-13,CMP06949,1260901.09,29.02,5446604.47,1234496.61,1617156.36,87.01,7.75,80.09,-18.55,22.15
2025-01-14,CMP02433,960109.5,42.91,6622937.09,736676.7,660522.88,78.2,7.96,140.85,27.52,27.1
2025-01-15,CMP05311,2166233.7,64.24,4789541.59,1582078.85,1295765.2,77.21,6.25,186.96,15.44,6.86
2025-01-16,CMP05051,1514740.65,74.11,8301106.51,2016931.19,2077780.93,86.67,8.6,216.87,4.66,22.6
2025-01-17,CMP06420,367501.31,30.49,3442952.82,1871179.24,809651.2,72.45,8.67,133.52,11.83,5.25
2025-01-18,CMP01184,1321684.15,77.03,9129326.1,1202095.88,948829.53,80.04,7.94,143.97,36.33,14.1
2025-01-19,CMP04555,955714.75,89.65,4903340.42,1998232.85,1462962.41,72.94,9.3,106.81,58.51,29.13
2025-01-20,CMP03385,1609017.6,65.18,1711371.85,1371263.03,1318719.03,78.24,7.62,171.56,40.04,16.32
2025-01-21,CMP06396,899310.08,103.19,5289563.31,1144333.51,1392517.01,66.04,8.66,112.47,23.31,12.9
2025-01-22,CMP08666,1191736.85,34.35,3432257.91,1015246.58,1452296.77,39.34,6.84,215.29,42.63,18.55
2025-01-23,CMP09274,1459113.67,22.12,6925097.95,1160505.2,1515086.86,72.5,7.98,44.67,25.99,31.67
2025-01-24,CMP02558,1614765.25,8.25,3497509.7,1120465.38,1720014.0,94.9,7.81,147.83,21.7,9.09
2025-01-25,CMP07849,723377.23,93.3,3971365.31,1381423.41,1418053.62,87.75,8.27,195.61,13.34,13.61
2025-01-26,CMP02047,1096920.39,71.44,658339.06,1376825.4,1137149.88,88.32,7.58,187.13,2.47,28.36
2025-01-27,CMP02747,1036326.47,53.0,3957311.07,1303233.04,1531418.02,92.21,7.86,368.61,27.25,30.45
2025-01-28,CMP09167,959363.58,61.72,-568160.99,1505934.52,2060934.26,75.7,8.96,199.14,37.22,19.09
2025-01-29,CMP09998,2002936.08,25.21,1359888.43,1858044.48,1184015.14,77.27,7.51,101.22,32.58,12.52
2025-01-30,CMP00189,1415966.75,117.97,6740943.67,1745413.42,820783.36,65.54,6.16,166.93,26.77,31.83
2025-01-31,CMP02734,697237.02,57.8,6799212.56,608109.95,1718883.97,69.88,10.02,45.37,17.13,28.93
2025-02-01,CMP03005,1637246.46,57.29,5972096.17,108694.19,1189301.46,83.29,9.6,168.01,45.41,23.62
2025-02-02,CMP04658,2156833.42,73.29,2775957.96,1738296.44,303851.51,91.75,6.52,113.59,10.38,14.99
2025-02-03,CMP01899,1686691.51,66.94,4886002.63,663245.04,1606855.34,72.42,8.8,240.04,48.46,19.41
2025-02-04,CMP07734,585714.47,60.26,4987248.29,1196806.33,1010274.57,67.95,7.43,134.09,16.11,18.76
2025-02-05,CMP01267,1032318.88,33.91,2336652.13,755168.09,1202179.19,74.43,8.31,165.39,20.65,21.61
2025-02-06,CMP01528,1787842.06,66.69,8446359.45,459978.47,1384470.65,83.08,8.35,127.87,7.65,28.1
2025-02-07,CMP03556,935918.75,103.32,7009380.72,1554765.27,1323429.51,53.65,7.74,299.6,25.22,24.79
2025-02-08,CMP03890,1432723.09,89.39,4488324.84,1656464.69,1547328.91,41.39,7.11,150.6,52.09,13.45
2025-02-09,CMP08838,1575451.47,95.82,5057230.13,1032481.55,1053350.84,66.51,7.22,306.38,43.72,27.66
2025-02-10,CMP05393,841319.64,41.17,5473831.22,91352.29,1462616.36,56.86,6.96,232.72,52.14,21.51
2025-02-11,CMP08792,1215557.41,28.74,308998.55,1046620.9,1129259.17,67.12,7.05,208.7,43.84,23.67
2025-02-12,CMP08433,-157189.87,51.18,4428156.06,1484849.18,1559995.56,72.3,7.93,200.51,14.26,28.19
2025-02-13,CMP07513,799272.22,55.89,3430117.28,610906.62,1506736.68,67.91,7.19,202.32,28.32,13.26
2025-02-14,CMP02612,1132270.02,82.86,2696437.77,1387470.31,837648.81,95.32,8.79,34.42,20.14,19.49
2025-02-15,CMP07041,702889.28,10.49,4350290.73,1294657.72,1709781.1,79.13,9.72,153.67,58.55,16.62
2025-02-16,CMP09555,1945535.34,94.17,9121857.21,1572437.75,1010000.49,78.75,7.34,234.96,12.57,10.61
2025-02-17,CMP06235,624211.72,50.34,6466483.22,1357674.41,1589871.99,83.38,8.28,170.3,50.6,21.7
2025-02-18,CMP05486,1051384.26,43.36,3684455.36,847221.22,1399703.68,58.04,8.58,72.21,50.59,34.24
2025-02-19,CMP07099,1297646.73,28.16,6309801.68,1860812.57,2034314.84,89.38,8.55,170.05,67.63,9.04
2025-02-20,CMP09670,1863069.76,11.46,8207543.5,1227749.73,1144826.01,73.34,8.1,297.09,26.89,19.51
