date,project_id,cloud_cost,orders_processed,dev_cost,budget,it_expense,total_revenue,uptime_minutes,scheduled_minutes,incident_count,downtime_minutes,internal_nps,uptime_rate
2025-01-01,PRJ0170,0.05,6.77,1201886.72,1160541.59,138565.38,4087340.33,43164.19,43200.0,1.67,26.83,38.18,98.5802848543769
2025-01-02,PRJ0015,0.07,10.53,1362922.7,1367040.58,224642.03,1149489.11,43183.15,43200.0,2.89,29.02,44.76,98.74610243343064
2025-01-03,PRJ0100,0.07,9.21,1504408.93,1233617.01,189104.38,2124684.79,43079.63,43200.0,1.04,29.2,63.56,99.04078622550998
2025-01-04,PRJ0151,0.05,16.42,1323165.71,1635075.57,256828.97,2117276.97,43024.32,43200.0,3.13,31.49,53.7,98.79746404951676
2025-01-05,PRJ0159,0.03,11.44,1050822.63,1751044.13,268473.08,1920167.32,43076.56,43200.0,2.99,12.37,38.2,98.84569817946084
2025-01-06,PRJ0123,0.02,11.9,1326384.07,938081.07,349438.19,3962565.61,43115.13,43200.0,0.4,18.27,45.76,99.08353041873616
2025-01-07,PRJ0176,0.04,7.82,1704774.18,683725.81,233379.96,2781366.2,43045.05,43200.0,1.19,8.52,42.27,98.69190434809772
2025-01-08,PRJ0037,0.08,7.4,801264.07,448156.94,218722.81,2699770.02,43045.43,43200.0,2.17,47.38,41.17,99.65945717866792
2025-01-09,PRJ0170,0.06,7.7,1300089.33,1541721.13,211134.76,692035.94,43119.91,43200.0,2.15,-5.58,60.58,99.27822006929756
2025-01-10,PRJ0185,0.02,12.21,941683.15,790025.11,179517.87,3738565.24,43097.44,43200.0,1.13,50.4,33.56,98.46592528859168
2025-01-11,PRJ0044,0.06,7.77,1757008.42,300423.77,219455.42,1574620.6,43102.1,43200.0,2.92,54.4,67.83,99.44871401951022
2025-01-12,PRJ0150,0.07,11.64,587589.59,1486015.28,182853.35,3074280.72,43056.81,43200.0,2.77,25.4,58.85,98.93557142770386
2025-01-13,PRJ0197,0.03,21.36,1002428.75,2467724.43,209637.89,3325277.33,43087.04,43200.0,2.27,-14.12,61.87,99.44830344277788
2025-01-14,PRJ0095,0.06,14.8,1405165.45,1301911.88,275991.8,4575712.61,43047.32,43200.0,1.64,24.38,44.01,98.26474023384056
2025-01-15,PRJ0028,0.06,8.28,1916392.53,1695898.62,141790.35,1494324.97,43151.19,43200.0,3.66,29.49,47.61,99.05440128772544
2025-01-16,PRJ0175,0.03,16.6,1214597.47,1342917.22,265729.88,-480331.67,43159.49,43200.0,4.34,13.23,32.85,98.5367868041186
2025-01-17,PRJ0068,0.06,7.84,1004030.14,1258612.08,275963.94,3217318.38,42994.54,43200.0,1.95,21.74,43.3,97.91314463413396
2025-01-18,PRJ0193,0.07,-1.04,2052181.9,1733491.73,193092.98,5083435.78,43047.02,43200.0,1.8,56.87,55.01,99.17690049790636
