date,csat_score_monthly_sum
2025-01-31,141.78
2025-02-28,129.72
2025-03-31,143.64
2025-04-30,138.78
2025-05-31,143.0
2025-06-30,136.04
2025-07-31,142.99
2025-08-31,140.49
2025-09-30,137.48
2025-10-31,142.32
2025-11-30,137.16
2025-12-31,142.46
2026-01-31,142.70150795696532
2026-02-28,127.8764342733494
2026-03-31,142.23503750658404
2026-04-30,137.08534775096766
2026-05-31,142.21709482304436
2026-06-30,137.83276835493825
2026-07-31,142.58001357373197
2026-08-31,141.05469046709342
2026-09-30,136.7742741353011
2026-10-31,143.83977326919296
2026-11-30,138.512502255554
2026-12-31,140.55039969689568
2027-01-31,140.66640745238098
2027-02-28,128.671316282042
2027-03-31,142.18810210449027
2027-04-30,139.5959654256775
2027-05-31,140.7194309165374
2027-06-30,137.96283693488454
2027-07-31,142.6084551261464
2027-08-31,144.9896021900661
2027-09-30,139.5060429673907
2027-10-31,142.7453793150994
2027-11-30,135.0379384530596
2027-12-31,142.4182073439481
2028-01-31,143.70335783970756
2028-02-29,134.81993076670875
2028-03-31,142.02797350387402
2028-04-30,138.16636916306777
2028-05-31,140.83537948222644
2028-06-30,137.91753004315945
2028-07-31,141.81211208562834
2028-08-31,142.25079210699144
2028-09-30,136.28720091831724
2028-10-31,142.0998603411902
2028-11-30,136.71102339250965
2028-12-31,137.11149002447573
