date,unexpected_risk_cost_monthly_sum
2025-01-31,23984.25
2025-02-28,8895.01
2025-03-31,4504.099999999999
2025-04-30,12119.35
2025-05-31,2448.090000000003
2025-06-30,-17645.43
2025-07-31,18054.73
2025-08-31,40961.1
2025-09-30,-1247.3300000000004
2025-10-31,10949.260000000002
2025-11-30,13954.99
2025-12-31,3703.5300000000007
2026-01-31,37409.17916387615
2026-02-28,19781.067408380517
2026-03-31,37643.440103619294
2026-04-30,46783.717204966524
2026-05-31,37051.63602962155
2026-06-30,27382.812953003944
2026-07-31,35233.84274455991
2026-08-31,29544.780948796782
2026-09-30,41164.944685615315
2026-10-31,53556.68596365406
2026-11-30,52503.93308252702
2026-12-31,46766.729968173306
2027-01-31,31312.152583191993
2027-02-28,43609.38074954156
2027-03-31,44223.898968920395
2027-04-30,48385.37854099534
2027-05-31,32590.964832440837
2027-06-30,42189.73371441059
2027-07-31,55045.83006754311
2027-08-31,40003.80520232979
2027-09-30,39108.05093935617
2027-10-31,44655.71274628701
2027-11-30,46414.203058553576
2027-12-31,48529.03498301036
2028-01-31,42808.93874580305
2028-02-29,49034.46471059034
2028-03-31,59155.760226333325
2028-04-30,43280.707761210375
2028-05-31,41648.27975352358
2028-06-30,30485.08218642637
2028-07-31,59301.30122967709
2028-08-31,50153.74713583244
2028-09-30,26170.368731854636
2028-10-31,67763.83959843223
2028-11-30,23381.701399640115
2028-12-31,46688.77739710052
