date,feature_adoption_rate_monthly_sum
2025-01-31,1137.58
2025-02-28,1155.73
2025-03-31,1250.96
2025-04-30,1048.15
2025-05-31,1303.9
2025-06-30,1230.4
2025-07-31,1209.25
2025-08-31,1166.07
2025-09-30,1138.46
2025-10-31,1274.32
2025-11-30,1214.81
2025-12-31,1197.65
2026-01-31,1243.1569672060878
2026-02-28,1130.7773703387322
2026-03-31,1298.9987217115176
2026-04-30,1117.674335406105
2026-05-31,1168.1618429911218
2026-06-30,1141.7605201783822
2026-07-31,1245.2643909264073
2026-08-31,1190.639983654227
2026-09-30,1232.8718311944522
2026-10-31,1207.5502862375304
2026-11-30,1225.3029577014506
2026-12-31,1182.122204162434
2027-01-31,1297.4010665969838
2027-02-28,1100.7035667911628
2027-03-31,1091.9057852431717
2027-04-30,1148.3826412489425
2027-05-31,1200.1036775457746
2027-06-30,1075.84678247855
2027-07-31,1126.2401501161837
2027-08-31,1129.7618626144224
2027-09-30,1084.0815414425035
2027-10-31,1095.1455019873986
2027-11-30,1233.4684060510592
2027-12-31,1149.6368735549797
2028-01-31,1225.1638135206213
2028-02-29,1209.8949586674735
2028-03-31,1122.7902239237155
2028-04-30,1203.5171901058793
2028-05-31,1234.748304314605
2028-06-30,1157.2925705699654
2028-07-31,1280.6861480051625
2028-08-31,1128.2273944444146
2028-09-30,1125.109207170906
2028-10-31,1185.1531307554628
2028-11-30,1133.0901544350825
2028-12-31,1144.1415519178179
