date,total_revenue_monthly_sum
2025-01-31,90453246.59
2025-02-28,77721048.24
2025-03-31,92794866.15
2025-04-30,89841680.91
2025-05-31,92221294.86
2025-06-30,90780010.38
2025-07-31,95464268.44
2025-08-31,94481310.16
2025-09-30,80739222.03
2025-10-31,107930373.83
2025-11-30,95880999.82
2025-12-31,86461307.64
2026-01-31,88667724.2336001
2026-02-28,80928438.32416195
2026-03-31,91078261.21261881
2026-04-30,97689529.69594392
2026-05-31,95241826.86784773
2026-06-30,97040850.81128514
2026-07-31,97495167.46015692
2026-08-31,85670445.87842278
2026-09-30,84195275.67244808
2026-10-31,91605496.28317486
2026-11-30,90397099.35238856
2026-12-31,98905292.97062337
2027-01-31,95172795.74264741
2027-02-28,78448008.56815375
2027-03-31,102737947.32172759
2027-04-30,92916734.34263948
2027-05-31,84165694.46994945
2027-06-30,97828737.61733484
2027-07-31,98542347.87394364
2027-08-31,83770224.6784133
2027-09-30,95389307.469033
2027-10-31,102601399.99466611
2027-11-30,98702940.11419925
2027-12-31,98120207.29775003
2028-01-31,97776648.10497284
2028-02-29,83488052.67437404
2028-03-31,84458245.26232077
2028-04-30,89113470.34544668
2028-05-31,99288505.76336855
2028-06-30,91338729.4625777
2028-07-31,93793448.9015466
2028-08-31,84667932.64925714
2028-09-30,87286821.24089807
2028-10-31,94079469.8008799
2028-11-30,106999223.00913899
2028-12-31,96032902.67332312
